id,name,genre,developers,publishers,releaseDates
1,#killallzombies,['Shooter'],['Beatshapers'],['Beatshapers'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 12, 2014', 'Europe': 'Oct 28, 2014', 'Australia': 'Oct 28, 2014'}"
2,10 Second Ninja X,['Platform'],['Four Circle Interactive'],['Curve Digital'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jul 19, 2016', 'Europe': 'Jul 19, 2016', 'Australia': 'Jul 19, 2016'}"
3,100ft Robot Golf,['Sports'],['No Goblin'],['No Goblin'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Oct 10, 2016', 'Europe': 'Oct 10, 2016', 'Australia': 'Oct 10, 2016'}"
4,101 Ways to Die,['puzzle'],['Four Door Lemon'],['Vision Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Mar 22, 2016', 'Europe': 'Mar 22, 2016', 'Australia': 'Mar 22, 2016'}"
5,11-11: Memories Retold,[],"['Aardman', 'DigixArt']",['Bandai Namco Entertainment'],"{'Japan': 'Nov 9, 2018', 'NorthAmerica': 'Nov 9, 2018', 'Europe': 'Nov 9, 2018', 'Australia': 'Nov 9, 2018'}"
6,13 Sentinels: Aegis Rim,[],['Vanillaware'],['Atlus'],"{'Japan': 'Nov 28, 2019', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
7,140,[],['Double Fine Productions'],['Abstraction Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Sep 1, 2016', 'Europe': 'Sep 1, 2016', 'Australia': 'Sep 1, 2016'}"
8,198X,[],['Hi-Bit Studios'],['Reset Media'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jun 20, 2019', 'Europe': 'Jun 16, 2019', 'Australia': 'Jun 16, 2019'}"
9,1001 Spikes,[],['8bits Fanatics'],['Nicalis'],"{'Japan': 'Nov 27, 2015', 'NorthAmerica': 'Oct 7, 2015', 'Europe': 'Jun 3, 2014', 'Australia': 'Jun 3, 2014'}"
10,2064: Read Only Memories,[],['MidBoss'],['MidBoss'],"{'Japan': 'Jan 17, 2017', 'NorthAmerica': 'Jan 17, 2017', 'Europe': 'Jan 17, 2017', 'Australia': 'Jan 17, 2017'}"
11,20XX,[],['Batterystaple Games'],['Batterystaple Games'],"{'Japan': 'Jul 10, 2018', 'NorthAmerica': 'Jul 10, 2018', 'Europe': 'Jul 10, 2018', 'Australia': 'Jul 10, 2018'}"
12,The 25th Ward: The Silver Case,['Visual novel'],['Grasshopper Manufacture'],['NIS America'],"{'Japan': 'Mar 15, 2018', 'NorthAmerica': 'Mar 13, 2018', 'Europe': 'Mar 13, 2018', 'Australia': 'Mar 13, 2018'}"
13,2Dark,['stealth'],['Gloomywood'],['Bigben Interactive'],"{'Japan': 'Jun 29, 2017', 'NorthAmerica': 'Mar 10, 2017', 'Europe': 'Mar 10, 2017', 'Australia': 'Mar 10, 2017'}"
14,428: Shibuya Scramble,['Visual novel'],['Abstraction Games'],['Spike Chunsoft'],"{'Japan': 'Sep 6, 2018', 'NorthAmerica': 'Sep 21, 2018', 'Europe': 'Sep 4, 2018', 'Australia': 'Sep 4, 2018'}"
15,7 Days to Die,['Survival'],['The Fun Pimps'],['Telltale Publishing'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jul 1, 2016', 'Europe': 'Jun 28, 2016', 'Australia': 'Jun 28, 2016'}"
